Watching instance i-0ebc2d020a22781d3 at 54.173.24.124
Local sync target: /Users/saheb/home/kaggle-orbit-wars/gpu_run_artifacts
Polling every 3 min. Will terminate on detection of 'Training complete' or 'Early stop'.
---
[2026-05-23 11:41:13] iter 42  ckpts_local=8  last: iter   274 | steps   8,978,432 | SPS   1,171 | r_p0 +0.140 r_p1 -0.140 | clip_frac 0.325 | KL 0.0103 | H_fire 0.222 H_ang 4.18 H_ship 2.56 | V_loss 0.0020 | LR 0.000098 | early_stop=0
[2026-05-23 11:44:23] iter 43  ckpts_local=8  last: iter   281 | steps   9,207,808 | SPS   1,171 | r_p0 +0.070 r_p1 -0.070 | clip_frac 0.324 | KL 0.0140 | H_fire 0.216 H_ang 4.18 H_ship 2.54 | V_loss 0.0017 | LR 0.000098 | early_stop=0
[2026-05-23 11:47:33] iter 44  ckpts_local=8  last: iter   288 | steps   9,437,184 | SPS   1,171 | r_p0 +0.150 r_p1 -0.150 | clip_frac 0.324 | KL 0.0119 | H_fire 0.215 H_ang 4.16 H_ship 2.54 | V_loss 0.0021 | LR 0.000098 | early_stop=0
[2026-05-23 11:50:43] iter 45  ckpts_local=8  last: iter   295 | steps   9,666,560 | SPS   1,171 | r_p0 +0.160 r_p1 -0.160 | clip_frac 0.327 | KL 0.0118 | H_fire 0.223 H_ang 4.17 H_ship 2.54 | V_loss 0.0020 | LR 0.000098 | early_stop=0
[2026-05-23 11:53:54] iter 46  ckpts_local=8  last: iter   301 | steps   9,863,168 | SPS   1,171 | r_p0 +0.090 r_p1 -0.090 | clip_frac 0.322 | KL 0.0113 | H_fire 0.228 H_ang 4.16 H_ship 2.53 | V_loss 0.0019 | LR 0.000098 | early_stop=0
[2026-05-23 11:57:04] iter 47  ckpts_local=8  last: iter   306 | steps  10,027,008 | SPS   1,171 | r_p0 +0.100 r_p1 -0.100 | clip_frac 0.319 | KL 0.0142 | H_fire 0.235 H_ang 4.17 H_ship 2.53 | V_loss 0.0022 | LR 0.000098 | early_stop=0
[2026-05-23 12:00:15] iter 48  ckpts_local=8  last: iter   307 | steps  10,059,776 | SPS   1,140 | r_p0 +0.080 r_p1 -0.080 | clip_frac 0.318 | KL 0.0132 | H_fire 0.243 H_ang 4.17 H_ship 2.54 | V_loss 0.0016 | LR 0.000098 | early_stop=0
[2026-05-23 12:03:30] iter 49  ckpts_local=8  last: iter   314 | steps  10,289,152 | SPS   1,141 | r_p0 +0.170 r_p1 -0.170 | clip_frac 0.316 | KL 0.0126 | H_fire 0.232 H_ang 4.17 H_ship 2.55 | V_loss 0.0024 | LR 0.000097 | early_stop=0
[2026-05-23 12:06:40] iter 50  ckpts_local=8  last: iter   321 | steps  10,518,528 | SPS   1,142 | r_p0 +0.260 r_p1 -0.260 | clip_frac 0.314 | KL 0.0112 | H_fire 0.224 H_ang 4.17 H_ship 2.54 | V_loss 0.0016 | LR 0.000097 | early_stop=0
[2026-05-23 12:09:50] iter 51  ckpts_local=8  last: iter   327 | steps  10,715,136 | SPS   1,142 | r_p0 +0.150 r_p1 -0.150 | clip_frac 0.316 | KL 0.0107 | H_fire 0.236 H_ang 4.17 H_ship 2.54 | V_loss 0.0016 | LR 0.000097 | early_stop=0
[2026-05-23 12:13:00] iter 52  ckpts_local=8  last: iter   334 | steps  10,944,512 | SPS   1,143 | r_p0 +0.150 r_p1 -0.150 | clip_frac 0.311 | KL 0.0128 | H_fire 0.228 H_ang 4.17 H_ship 2.55 | V_loss 0.0014 | LR 0.000097 | early_stop=0
[2026-05-23 12:16:10] iter 53  ckpts_local=8  last: iter   341 | steps  11,173,888 | SPS   1,143 | r_p0 +0.190 r_p1 -0.190 | clip_frac 0.297 | KL 0.0120 | H_fire 0.224 H_ang 4.17 H_ship 2.55 | V_loss 0.0016 | LR 0.000097 | early_stop=0
[2026-05-23 12:19:20] iter 54  ckpts_local=8  last: iter   348 | steps  11,403,264 | SPS   1,144 | r_p0 +0.230 r_p1 -0.230 | clip_frac 0.288 | KL 0.0132 | H_fire 0.218 H_ang 4.17 H_ship 2.57 | V_loss 0.0019 | LR 0.000097 | early_stop=0
[2026-05-23 12:22:30] iter 55  ckpts_local=8  last: iter   355 | steps  11,632,640 | SPS   1,144 | r_p0 +0.270 r_p1 -0.270 | clip_frac 0.289 | KL 0.0108 | H_fire 0.214 H_ang 4.17 H_ship 2.56 | V_loss 0.0025 | LR 0.000097 | early_stop=0
[2026-05-23 12:25:40] iter 56  ckpts_local=8  last: iter   361 | steps  11,829,248 | SPS   1,145 | r_p0 +0.070 r_p1 -0.070 | clip_frac 0.286 | KL 0.0123 | H_fire 0.211 H_ang 4.17 H_ship 2.56 | V_loss 0.0029 | LR 0.000097 | early_stop=0
[2026-05-23 12:28:50] iter 57  ckpts_local=8  last: iter   368 | steps  12,058,624 | SPS   1,145 | r_p0 +0.180 r_p1 -0.180 | clip_frac 0.280 | KL 0.0125 | H_fire 0.198 H_ang 4.17 H_ship 2.55 | V_loss 0.0027 | LR 0.000096 | early_stop=0
[2026-05-23 12:32:01] iter 58  ckpts_local=8  last: iter   375 | steps  12,288,000 | SPS   1,146 | r_p0 +0.130 r_p1 -0.130 | clip_frac 0.270 | KL 0.0117 | H_fire 0.203 H_ang 4.17 H_ship 2.57 | V_loss 0.0025 | LR 0.000096 | early_stop=0
[2026-05-23 12:35:11] iter 59  ckpts_local=8  last: iter   382 | steps  12,517,376 | SPS   1,146 | r_p0 -0.010 r_p1 +0.010 | clip_frac 0.261 | KL 0.0127 | H_fire 0.204 H_ang 4.17 H_ship 2.57 | V_loss 0.0030 | LR 0.000096 | early_stop=0
[2026-05-23 12:38:21] iter 60  ckpts_local=8  last: iter   389 | steps  12,746,752 | SPS   1,147 | r_p0 +0.040 r_p1 -0.040 | clip_frac 0.256 | KL 0.0133 | H_fire 0.205 H_ang 4.17 H_ship 2.58 | V_loss 0.0018 | LR 0.000096 | early_stop=0
[2026-05-23 12:41:31] iter 61  ckpts_local=8  last: iter   395 | steps  12,943,360 | SPS   1,147 | r_p0 +0.240 r_p1 -0.240 | clip_frac 0.253 | KL 0.0165 | H_fire 0.215 H_ang 4.17 H_ship 2.59 | V_loss 0.0030 | LR 0.000096 | early_stop=0
[2026-05-23 12:44:42] iter 62  ckpts_local=8  last:   ★ best updated: reward=+0.410
[2026-05-23 12:47:54] iter 63  ckpts_local=8  last: iter   409 | steps  13,402,112 | SPS   1,148 | r_p0 +0.200 r_p1 -0.200 | clip_frac 0.252 | KL 0.0147 | H_fire 0.196 H_ang 4.18 H_ship 2.59 | V_loss 0.0024 | LR 0.000096 | early_stop=0
[2026-05-23 12:51:04] iter 64  ckpts_local=8  last: iter   416 | steps  13,631,488 | SPS   1,148 | r_p0 +0.060 r_p1 -0.060 | clip_frac 0.258 | KL 0.0136 | H_fire 0.195 H_ang 4.18 H_ship 2.59 | V_loss 0.0042 | LR 0.000095 | early_stop=0
[2026-05-23 12:54:15] iter 65  ckpts_local=8  last: iter   423 | steps  13,860,864 | SPS   1,148 | r_p0 +0.030 r_p1 -0.030 | clip_frac 0.271 | KL 0.0151 | H_fire 0.201 H_ang 4.18 H_ship 2.59 | V_loss 0.0035 | LR 0.000095 | early_stop=0
[2026-05-23 12:57:25] iter 66  ckpts_local=8  last: iter   429 | steps  14,057,472 | SPS   1,149 | r_p0 +0.110 r_p1 -0.110 | clip_frac 0.284 | KL 0.0142 | H_fire 0.209 H_ang 4.18 H_ship 2.58 | V_loss 0.0026 | LR 0.000095 | early_stop=0
[2026-05-23 13:00:35] iter 67  ckpts_local=8  last: iter   436 | steps  14,286,848 | SPS   1,149 | r_p0 +0.120 r_p1 -0.120 | clip_frac 0.299 | KL 0.0140 | H_fire 0.205 H_ang 4.18 H_ship 2.58 | V_loss 0.0020 | LR 0.000095 | early_stop=0
[2026-05-23 13:03:45] iter 68  ckpts_local=8  last: iter   443 | steps  14,516,224 | SPS   1,149 | r_p0 +0.220 r_p1 -0.220 | clip_frac 0.309 | KL 0.0139 | H_fire 0.203 H_ang 4.18 H_ship 2.59 | V_loss 0.0024 | LR 0.000095 | early_stop=0
[2026-05-23 13:06:55] iter 69  ckpts_local=8  last: iter   450 | steps  14,745,600 | SPS   1,150 | r_p0 +0.160 r_p1 -0.160 | clip_frac 0.316 | KL 0.0130 | H_fire 0.180 H_ang 4.18 H_ship 2.59 | V_loss 0.0024 | LR 0.000095 | early_stop=0
[2026-05-23 13:10:06] iter 70  ckpts_local=8  last: iter   457 | steps  14,974,976 | SPS   1,150 | r_p0 +0.110 r_p1 -0.110 | clip_frac 0.322 | KL 0.0138 | H_fire 0.184 H_ang 4.18 H_ship 2.59 | V_loss 0.0022 | LR 0.000095 | early_stop=0
[2026-05-23 13:13:15] iter 71  ckpts_local=8  last: iter   459 | steps  15,040,512 | SPS   1,150 | r_p0 +0.110 r_p1 -0.110 | clip_frac 0.325 | KL 0.0151 | H_fire 0.186 H_ang 4.18 H_ship 2.58 | V_loss 0.0023 | LR 0.000095 | early_stop=0
[2026-05-23 13:16:32] iter 72  ckpts_local=8  last: iter   461 | steps  15,106,048 | SPS   1,127 | r_p0 +0.260 r_p1 -0.260 | clip_frac 0.326 | KL 0.0153 | H_fire 0.182 H_ang 4.18 H_ship 2.58 | V_loss 0.0029 | LR 0.000094 | early_stop=0
[2026-05-23 13:19:42] iter 73  ckpts_local=8  last: iter   467 | steps  15,302,656 | SPS   1,127 | r_p0 -0.010 r_p1 +0.010 | clip_frac 0.328 | KL 0.0117 | H_fire 0.189 H_ang 4.17 H_ship 2.59 | V_loss 0.0025 | LR 0.000094 | early_stop=0
[2026-05-23 13:22:52] iter 74  ckpts_local=8  last: iter   474 | steps  15,532,032 | SPS   1,128 | r_p0 +0.100 r_p1 -0.100 | clip_frac 0.326 | KL 0.0134 | H_fire 0.180 H_ang 4.17 H_ship 2.57 | V_loss 0.0024 | LR 0.000094 | early_stop=0
[2026-05-23 13:26:02] iter 75  ckpts_local=8  last: iter   481 | steps  15,761,408 | SPS   1,129 | r_p0 +0.240 r_p1 -0.240 | clip_frac 0.322 | KL 0.0125 | H_fire 0.189 H_ang 4.16 H_ship 2.56 | V_loss 0.0026 | LR 0.000094 | early_stop=0
[2026-05-23 13:29:11] iter 76  ckpts_local=8  last: iter   488 | steps  15,990,784 | SPS   1,129 | r_p0 +0.120 r_p1 -0.120 | clip_frac 0.320 | KL 0.0141 | H_fire 0.195 H_ang 4.17 H_ship 2.57 | V_loss 0.0028 | LR 0.000094 | early_stop=0
[2026-05-23 13:32:21] iter 77  ckpts_local=8  last: iter   495 | steps  16,220,160 | SPS   1,130 | r_p0 +0.130 r_p1 -0.130 | clip_frac 0.319 | KL 0.0137 | H_fire 0.195 H_ang 4.17 H_ship 2.57 | V_loss 0.0022 | LR 0.000094 | early_stop=0
[2026-05-23 13:35:31] iter 78  ckpts_local=8  last: iter   501 | steps  16,416,768 | SPS   1,130 | r_p0 +0.200 r_p1 -0.200 | clip_frac 0.320 | KL 0.0142 | H_fire 0.195 H_ang 4.17 H_ship 2.55 | V_loss 0.0024 | LR 0.000094 | early_stop=0
[2026-05-23 13:38:41] iter 79  ckpts_local=8  last: iter   508 | steps  16,646,144 | SPS   1,131 | r_p0 -0.060 r_p1 +0.060 | clip_frac 0.323 | KL 0.0135 | H_fire 0.184 H_ang 4.18 H_ship 2.56 | V_loss 0.0024 | LR 0.000093 | early_stop=0
[2026-05-23 13:41:51] iter 80  ckpts_local=8  last: iter   515 | steps  16,875,520 | SPS   1,131 | r_p0 -0.060 r_p1 +0.060 | clip_frac 0.329 | KL 0.0147 | H_fire 0.174 H_ang 4.18 H_ship 2.56 | V_loss 0.0030 | LR 0.000093 | early_stop=0
[2026-05-23 13:45:00] iter 81  ckpts_local=8  last: iter   522 | steps  17,104,896 | SPS   1,132 | r_p0 +0.020 r_p1 -0.020 | clip_frac 0.335 | KL 0.0139 | H_fire 0.181 H_ang 4.17 H_ship 2.55 | V_loss 0.0025 | LR 0.000093 | early_stop=0
[2026-05-23 13:48:10] iter 82  ckpts_local=8  last: iter   528 | steps  17,301,504 | SPS   1,132 | r_p0 +0.200 r_p1 -0.200 | clip_frac 0.338 | KL 0.0136 | H_fire 0.186 H_ang 4.18 H_ship 2.56 | V_loss 0.0024 | LR 0.000093 | early_stop=0
[2026-05-23 13:51:21] iter 83  ckpts_local=8  last: iter   535 | steps  17,530,880 | SPS   1,132 | r_p0 +0.100 r_p1 -0.100 | clip_frac 0.337 | KL 0.0130 | H_fire 0.200 H_ang 4.18 H_ship 2.55 | V_loss 0.0034 | LR 0.000093 | early_stop=0
