iter    49 | steps   1,605,632 | SPS   1,182 | r_p0 +0.190 r_p1 -0.190 | clip_frac 0.294 | KL 0.0125 | H_fire 0.149 H_ang 4.16 H_ship 2.58 | V_loss 0.0014 | LR 0.000100 | early_stop=0
iter    50 | steps   1,638,400 | SPS   1,183 | r_p0 +0.160 r_p1 -0.160 | clip_frac 0.295 | KL 0.0118 | H_fire 0.231 H_ang 4.16 H_ship 2.57 | V_loss 0.0013 | LR 0.000100 | early_stop=0
iter    51 | steps   1,671,168 | SPS   1,183 | r_p0 +0.220 r_p1 -0.220 | clip_frac 0.302 | KL 0.0157 | H_fire 0.272 H_ang 4.16 H_ship 2.58 | V_loss 0.0019 | LR 0.000100 | early_stop=0
iter    52 | steps   1,703,936 | SPS   1,183 | r_p0 +0.320 r_p1 -0.320 | clip_frac 0.308 | KL 0.0143 | H_fire 0.254 H_ang 4.15 H_ship 2.56 | V_loss 0.0018 | LR 0.000100 | early_stop=0
  ★ best updated: reward=+0.320
iter    53 | steps   1,736,704 | SPS   1,183 | r_p0 +0.290 r_p1 -0.290 | clip_frac 0.311 | KL 0.0208 | H_fire 0.244 H_ang 4.13 H_ship 2.53 | V_loss 0.0026 | LR 0.000100 | early_stop=0
iter    54 | steps   1,769,472 | SPS   1,183 | r_p0 +0.260 r_p1 -0.260 | clip_frac 0.310 | KL 0.0189 | H_fire 0.230 H_ang 4.11 H_ship 2.50 | V_loss 0.0033 | LR 0.000100 | early_stop=0
iter    55 | steps   1,802,240 | SPS   1,180 | r_p0 +0.140 r_p1 -0.140 | clip_frac 0.306 | KL 0.0127 | H_fire 0.152 H_ang 4.14 H_ship 2.53 | V_loss 0.0048 | LR 0.000100 | early_stop=0
iter    56 | steps   1,835,008 | SPS   1,180 | r_p0 +0.150 r_p1 -0.150 | clip_frac 0.300 | KL 0.0098 | H_fire 0.117 H_ang 4.17 H_ship 2.58 | V_loss 0.0013 | LR 0.000100 | early_stop=0
iter    57 | steps   1,867,776 | SPS   1,181 | r_p0 +0.140 r_p1 -0.140 | clip_frac 0.296 | KL 0.0101 | H_fire 0.191 H_ang 4.16 H_ship 2.58 | V_loss 0.0017 | LR 0.000100 | early_stop=0
iter    58 | steps   1,900,544 | SPS   1,181 | r_p0 +0.200 r_p1 -0.200 | clip_frac 0.297 | KL 0.0104 | H_fire 0.259 H_ang 4.16 H_ship 2.59 | V_loss 0.0015 | LR 0.000100 | early_stop=0
iter    59 | steps   1,933,312 | SPS   1,181 | r_p0 +0.170 r_p1 -0.170 | clip_frac 0.304 | KL 0.0131 | H_fire 0.272 H_ang 4.16 H_ship 2.58 | V_loss 0.0015 | LR 0.000100 | early_stop=0
iter    60 | steps   1,966,080 | SPS   1,182 | r_p0 +0.110 r_p1 -0.110 | clip_frac 0.309 | KL 0.0154 | H_fire 0.259 H_ang 4.15 H_ship 2.56 | V_loss 0.0019 | LR 0.000100 | early_stop=0
