[13:09:34] last: 
[13:12:46] last: 
[13:15:57] last: 
[13:19:08] last: 
[16:31:21] last: iter    60 | steps   1,966,080 | SPS     256 | r_p0 +0.040 r_p1 -0.040 | clip_frac 0.342 | KL 0.0207 | H_fire 0.326 H_ang 4.16 H_ship 2.52 | V_loss 0.0024 | LR 0.000100 | early_stop=0
[16:34:32] last: iter    61 | steps   1,998,848 | SPS     221 | r_p0 +0.030 r_p1 -0.030 | clip_frac 0.344 | KL 0.0213 | H_fire 0.296 H_ang 4.15 H_ship 2.48 | V_loss 0.0047 | LR 0.000100 | early_stop=0
[16:38:01] last: iter    64 | steps   2,097,152 | SPS     227 | r_p0 +0.090 r_p1 -0.090 | clip_frac 0.339 | KL 0.0173 | H_fire 0.197 H_ang 4.17 H_ship 2.57 | V_loss 0.0013 | LR 0.000100 | early_stop=0
[16:41:15] last: iter    67 | steps   2,195,456 | SPS     232 | r_p0 -0.390 r_p1 +0.390 | clip_frac 0.346 | KL 0.0194 | H_fire 0.345 H_ang 4.18 H_ship 2.57 | V_loss 0.0027 | LR 0.000100 | early_stop=0
[16:44:26] last: iter    71 | steps   2,326,528 | SPS     241 | r_p0 +0.080 r_p1 -0.080 | clip_frac 0.344 | KL 0.0191 | H_fire 0.212 H_ang 4.18 H_ship 2.59 | V_loss 0.0044 | LR 0.000100 | early_stop=0
[16:47:37] last: iter    75 | steps   2,457,600 | SPS     249 | r_p0 +0.150 r_p1 -0.150 | clip_frac 0.349 | KL 0.0202 | H_fire 0.304 H_ang 4.18 H_ship 2.59 | V_loss 0.0030 | LR 0.000100 | early_stop=0
[16:50:49] last: iter    78 | steps   2,555,904 | SPS     255 | r_p0 +0.080 r_p1 -0.080 | clip_frac 0.353 | KL 0.0219 | H_fire 0.302 H_ang 4.17 H_ship 2.52 | V_loss 0.0058 | LR 0.000100 | early_stop=0
[16:54:00] last: iter    81 | steps   2,654,208 | SPS     260 | r_p0 +0.010 r_p1 -0.010 | clip_frac 0.353 | KL 0.0189 | H_fire 0.306 H_ang 4.18 H_ship 2.58 | V_loss 0.0020 | LR 0.000100 | early_stop=0
[16:57:13] last: iter    84 | steps   2,752,512 | SPS     263 | r_p0 -0.650 r_p1 +0.650 | clip_frac 0.359 | KL 0.0185 | H_fire 0.236 H_ang 4.19 H_ship 2.58 | V_loss 0.0027 | LR 0.000100 | early_stop=0
[17:00:25] last: iter    86 | steps   2,818,048 | SPS     267 | r_p0 -0.170 r_p1 +0.170 | clip_frac 0.357 | KL 0.0172 | H_fire 0.260 H_ang 4.17 H_ship 2.55 | V_loss 0.0029 | LR 0.000100 | early_stop=0
[17:03:36] last: iter    86 | steps   2,818,048 | SPS     267 | r_p0 -0.170 r_p1 +0.170 | clip_frac 0.357 | KL 0.0172 | H_fire 0.260 H_ang 4.17 H_ship 2.55 | V_loss 0.0029 | LR 0.000100 | early_stop=0
[17:06:47] last: iter    86 | steps   2,818,048 | SPS     267 | r_p0 -0.170 r_p1 +0.170 | clip_frac 0.357 | KL 0.0172 | H_fire 0.260 H_ang 4.17 H_ship 2.55 | V_loss 0.0029 | LR 0.000100 | early_stop=0
[17:09:58] last: iter    86 | steps   2,818,048 | SPS     267 | r_p0 -0.170 r_p1 +0.170 | clip_frac 0.357 | KL 0.0172 | H_fire 0.260 H_ang 4.17 H_ship 2.55 | V_loss 0.0029 | LR 0.000100 | early_stop=0
[17:13:11] last: iter    86 | steps   2,818,048 | SPS     267 | r_p0 -0.170 r_p1 +0.170 | clip_frac 0.357 | KL 0.0172 | H_fire 0.260 H_ang 4.17 H_ship 2.55 | V_loss 0.0029 | LR 0.000100 | early_stop=0
[17:16:22] last: iter    86 | steps   2,818,048 | SPS     267 | r_p0 -0.170 r_p1 +0.170 | clip_frac 0.357 | KL 0.0172 | H_fire 0.260 H_ang 4.17 H_ship 2.55 | V_loss 0.0029 | LR 0.000100 | early_stop=0
[17:19:33] last: iter    86 | steps   2,818,048 | SPS     267 | r_p0 -0.170 r_p1 +0.170 | clip_frac 0.357 | KL 0.0172 | H_fire 0.260 H_ang 4.17 H_ship 2.55 | V_loss 0.0029 | LR 0.000100 | early_stop=0
[17:22:44] last: iter    87 | steps   2,850,816 | SPS     239 | r_p0 -0.110 r_p1 +0.110 | clip_frac 0.355 | KL 0.0288 | H_fire 0.232 H_ang 4.19 H_ship 2.61 | V_loss 0.0024 | LR 0.000100 | early_stop=0
[17:25:55] last: iter    88 | steps   2,883,584 | SPS     240 | r_p0 -0.050 r_p1 +0.050 | clip_frac 0.355 | KL 0.0246 | H_fire 0.315 H_ang 4.18 H_ship 2.58 | V_loss 0.0032 | LR 0.000100 | early_stop=0
[17:29:08] last: iter    88 | steps   2,883,584 | SPS     240 | r_p0 -0.050 r_p1 +0.050 | clip_frac 0.355 | KL 0.0246 | H_fire 0.315 H_ang 4.18 H_ship 2.58 | V_loss 0.0032 | LR 0.000100 | early_stop=0
